VideoDuration,PubliedDate,VideoID,VideoImageURL,VideoTitle,VideoURL,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT112M21S,7/2/2020,XxPw1uieViU ,https://i.ytimg.com/vi/XxPw1uieViU/maxresdefault.jpg,Lesson 2. Perimeter | Maths Session for Grade 08,https://www.youtube.com/embed/XxPw1uieViU,18525,1605,20,0,85,10,5
PT5M12S,5/1/2020,NwO363dyeOg,https://i.ytimg.com/vi/NwO363dyeOg/maxresdefault.jpg,Perimeter | Maths for Kids | Grade 4 | Periwinkle,https://www.youtube.com/embed/NwO363dyeOg,287036,3520,10,5,85,10,10
PT11M5S,9/9/2019,j_HO22TBv1s,https://i.ytimg.com/vi/j_HO22TBv1s/maxresdefault.jpg,4th Std Maths | Perimeter and Area | Square Paper | Comparing Perimeter & Area || Maths Activities,https://www.youtube.com/embed/j_HO22TBv1s,7328,2501,50,5,85,10,10
PT7M26S,1/10/2020,3uzWUQlZvm0,https://i.ytimg.com/vi/3uzWUQlZvm0/maxresdefault.jpg,What is ACID RAIN? | Acid Rain | Dr Binocs Show | Kids Learning Video | Peekaboo Kidz,https://www.youtube.com/embed/3uzWUQlZvm0,2498012,4210,77,5,85,10,10
PT48M23S,4/16/2016,3s57HonYXDQ,https://i.ytimg.com/vi/3s57HonYXDQ/maxresdefault.jpg,Phonics Course Level 1 | Learn Phonics For Kids | Alphabet Sounds | Phonics For Pre School,https://www.youtube.com/embed/3s57HonYXDQ,5985327,1325,24,5,85,20,10
PT3M21S,4/6/2017,ftB5VU64yGA,https://i.ytimg.com/vi/ftB5VU64yGA/maxresdefault.jpg,Measure Length | Mathematics Grade 1 | Periwinkle,https://www.youtube.com/embed/ftB5VU64yGA,1008728,2510,69,5,85,20,10
PT16M31S,4/29/2016,tQe3G44jx2E,https://i.ytimg.com/vi/tQe3G44jx2E/hqdefault.jpg,Phonics Chapter 1 : Sounds of Alphabets | Learn Phonics  | Phonics Classroom Teaching,https://www.youtube.com/embed/tQe3G44jx2E,3818647,5253,240,5,85,20,10
PT63M11S,3/5/2018,BF-m50uyq2A,https://i.ytimg.com/vi/BF-m50uyq2A/maxresdefault.jp,"Opposites for Kids | + More Kids Educational Videos, Kid's Learning, Educational Videos for Children""",https://www.youtube.com/embed/BF-m50uyq2,2269399,11569,530,5,85,20,10
PT142M8S,9/2/2020,40TWRAGdhYI,https://i.ytimg.com/vi/40TWRAGdhYI/maxresdefault.jpg,Perimeter and area full chapter | Mathematics | Class 7 | CBSE Syllabus,https://www.youtube.com/embed/40TWRAGdhYI,3932,9210,104,5,85,25,10
PT50M6S,8/25/2016,kCHeKc2R96o,https://i.ytimg.com/vi/kCHeKc2R96o/maxresdefault.jpg,"Pre School Learning For Kids | Animals, Birds, Animal Sounds, Fruits, Flowers, Vegetables",https://www.youtube.com/embed/kCHeKc2R96o,15764395,5250,150,5,8,25,10
PT5M54S,2/5/2017,Y-c25-JBQOg,https://i.ytimg.com/vi/Y-c25-JBQOg/maxresdefault.jpg,"Addition of Length, Cm, Inches, Metres, Kms | Maths For Class 2 | Maths Basics For CBSE Children",https://www.youtube.com/embed/Y-c25-JBQOg,154182,820,130,5,5,25,10
PT9M48S,10/18/2020,z_T1I6Ug7Dg,https://i.ytimg.com/vi/z_T1I6Ug7Dg/maxresdefault.jpg,Area and Perimeter for Kids || How To Find Perimeter || Maths Concept for kids || Telugu,https://www.youtube.com/embed/z_T1I6Ug7Dg,10276,856,230,5,85,25,10
PT3M6S,9/12/2015,d_6XOBpoDz4,https://i.ytimg.com/vi/d_6XOBpoDz4/maxresdefault.jpg,Learning about Area | #aumsum #kids #science #education #children,https://www.youtube.com/embed/d_6XOBpoDz4,615990,1520,95,0,85,25,10
PT21M31S,4/8/2016,2b3ZcvaHCqI,https://i.ytimg.com/vi/2b3ZcvaHCqI/maxresdefault.jpg,Tens and Ones | Maths for Kids | Kindergarten Maths School Syllabus | Maths For Pre School,https://www.youtube.com/embed/2b3ZcvaHCqI,391618,243,130,0,90,25,10
PT7M15S,12/5/2019,0kRuFlWC6iA,https://i.ytimg.com/vi/0kRuFlWC6iA/maxresdefault.jpg,Perimeter | Class 6 | Maths | CBSE | ICSE | FREE Tutorial,https://www.youtube.com/embed/0kRuFlWC6iA,17260,568,50,0,90,25,10
PT10M25S,2/21/2017,VoLZXXQL-YY,https://i.ytimg.com/vi/VoLZXXQL-YY/maxresdefault.jpg,9 Incredible Science Facts You Probably Didn't Learn At School,https://www.youtube.com/embed/VoLZXXQL-YY,27063951,6522,86,0,90,25,10
PT35M16S,6/20/2020,ZaB52lph8gM,https://i.ytimg.com/vi/ZaB52lph8gM/maxresdefault.jpg,Class 5 || CBSE || Maths || Let us start learning Mathematics || The Fish Tale,https://www.youtube.com/embed/ZaB52lph8gM,125538,5588,84,0,90,25,20
PT29M25S,7/4/2020,xfnWmTtY0gI,https://i.ytimg.com/vi/xfnWmTtY0gI/maxresdefault.jpg,Class 5 || Maths || Division,https://www.youtube.com/embed/xfnWmTtY0gI,44656,7596,26,0,90,25,20
PT8M57S,7/1/2015,y2k4pqmf1nw,https://i.ytimg.com/vi/y2k4pqmf1nw/maxresdefault.jpg,Let\u2019s Learn About Vegetables | Learn Vegetables For Kids | Pre School Junior | Vegetables Song,https://www.youtube.com/embed/y2k4pqmf1nw,391051,3252,52,0,90,25,2
PT17M20S,5/13/2019,o9APwMAbDrY,https://i.ytimg.com/vi/o9APwMAbDrY/maxresdefault.jpg,5th std Maths Syllabus | Mathematics | Money Part -1 | Exercises & Activities,https://www.youtube.com/embed/o9APwMAbDrY,29386,458,12,0,90,25,2
PT28M19S,7/10/2020,ZTVoNPY-Go,https://i.ytimg.com/vi/_ZTVoNPY-Go/maxresdefault.jpg,Class 5 || Maths || Fractions   Equivalent Fractions,https://www.youtube.com/embed/_ZTVoNPY-Go,27124,5230,59,0,90,25,0
PT7M39S,6/26/2015,uQ8WsRIaHGk,https://i.ytimg.com/vi/uQ8WsRIaHGk/maxresdefault.jpg,et\u2019s Learn & Draw Shapes | Learn Shapes For Kids | Shapes Song | Pre School Junior,https://www.youtube.com/embed/uQ8WsRIaHGk,245259,6203,21,0,95,25,20
PT42M53S,7/23/2020,QVu9vXCarJU,https://i.ytimg.com/vi/QVu9vXCarJU/maxresdefault.jpg,Class 5 || Maths || Decimal Fractions,https://www.youtube.com/embed/QVu9vXCarJU,152063,4520,26,,95,1,2
PT8M30S,4/8/2016,9-OOER1VAjU,https://i.ytimg.com/vi/9-OOER1VAjU/maxresdefault.jpg,Number Names | Learn Maths | Maths School Syllabus | Maths For School,https://www.youtube.com/embed/9-OOER1VAjU,6152572,3545,56,5,95,51,2
PT5M12S,5/1/2020,NwO363dyeOg,https://i.ytimg.com/vi/NwO363dyeOg/maxresdefault.jpg,Perimeter | Maths for Kids | Grade 4 | Periwinkle,https://www.youtube.com/embed/NwO363dyeOg,287036,112,2,5,95,51,2
