VideoDuration,PubliedDate,VideoID,VideoImageURL,VideoTitle,VideoURL,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT3M3S,8/2/2013,XZRQhkii0h0,https://i.ytimg.com/vi/XZRQhkii0h0/maxresdefault.jpg,Introduction to exponents | Pre-Algebra | Khan Academy,https://www.youtube.com/embed/XZRQhkii0h0,1051546,1005,20,85,0,15,5
PT62M40S,10/16/2020,25gGVMaynPk,https://i.ytimg.com/vi/25gGVMaynPk/maxresdefault.jpg,Lesson 24. Indices | Maths Session for Grade 06,https://www.youtube.com/embed/25gGVMaynPk,4896,120,10,85,0,5,5
PT9M43S,1/26/2007,kITJ6qH7jS0,https://i.ytimg.com/vi/kITJ6qH7jS0/maxresdefault.jpg,"xponent rules part 1 | Exponents, radicals, and scientific notation | Pre-Algebra | Khan Academy",https://www.youtube.com/embed/kITJ6qH7jS0,1501952,2501,50,85,0,50,5
PT5M32S,9/3/2017,BUJKEDqGp1U,https://i.ytimg.com/vi/BUJKEDqGp1U/maxresdefault.jpg,Laws of Indices - Part 1 | Algebra | Maths | FuseSchool,https://www.youtube.com/embed/BUJKEDqGp1U,250027,1254,77,85,0,50,5
PT4M32S,9/11/2015,TWv6f7rwjF4,https://i.ytimg.com/vi/TWv6f7rwjF4/maxresdefault.jpg,The zeroth power | Arithmetic operations | 6th grade | Khan Academy,https://www.youtube.com/embed/TWv6f7rwjF4,107825,420,24,90,0,50,5
PT7M30S,4/24/2016,Fp4n7Qk221U,https://i.ytimg.com/vi/Fp4n7Qk221U/maxresdefault.jpg,"Grade 6 Math #1.1, What are Exponents - How to Read and Write them",https://www.youtube.com/embed/Fp4n7Qk221U,67729,200,69,90,0,50,5
PT14M13S,11/5/2009,HpdMJaKaXXc,https://i.ytimg.com/vi/HpdMJaKaXXc/maxresdefault.jpg,"Introduction to ratios | Ratios, proportions, units, and rates | Pre-Algebra | Khan Academy",https://www.youtube.com/embed/HpdMJaKaXXc,1904014,5823,240,90,0,55,55
PT6M55S,2/17/2012,vDqOoI-4Z6M,ttps://i.ytimg.com/vi/vDqOoI-4Z6M/maxresdefault.jpg,"What are variables, expressions, and equations? | Introduction to algebra | Algebra I | Khan Academy",https://www.youtube.com/embed/vDqOoI-4Z6M,1550840,11569,530,90,0,5,5
PT9M47S,1/15/2007,8htcZca0JIA,https://i.ytimg.com/vi/8htcZca0JIA/hqdefault.jpg,Level 1 Exponents,https://www.youtube.com/embed/8htcZca0JIA,610815,9210,104,90,0,55,5
PT5M0S,8/2/2013,lZfXc4nHooo,https://i.ytimg.com/vi/lZfXc4nHooo/maxresdefault.jpg,Basic fractional exponents | Exponent expressions and equations | Algebra I | Khan Academy,https://www.youtube.com/embed/lZfXc4nHooo,960141,450,150,90,0,55,5
