VideoDuration,VideoPublished Date,VideoID,VideoImageURL,VideoTitle,VideoURL,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT64M1S,7/29/2020,lePNxW0vB_Q,https://i.ytimg.com/vi/lePNxW0vB_Q/maxresdefault.jpg,Lesson 11. Symmetry | Maths Session for Grade 08,https://www.youtube.com/embed/lePNxW0vB_Q,7589,1005,20,80,0,1,0
PT5M22S,7/23/2019,4dOQePLgqxE,https://i.ytimg.com/vi/4dOQePLgqxE/maxresdefault.jpg,Function symmetry introduction | Transformations of functions | Algebra 2 | Khan Academy,https://www.youtube.com/embed/4dOQePLgqxE,19430,120,10,85,0,12,0
PT2M46S,8/14/2013,LrTn4cvsewk,https://i.ytimg.com/vi/LrTn4cvsewk/maxresdefault.jpg,Axis of symmetry | Transformations | Geometry | Khan Academy,https://www.youtube.com/embed/LrTn4cvsewk,475756,2501,50,86,0,21,0
PT5M56S,3/27/2017,MtqtIiJsfiE,https://i.ytimg.com/vi/MtqtIiJsfiE/maxresdefault.jpg,What is Symmetry? - Basics | Line of Symmetry | Don't Memorise,https://www.youtube.com/embed/MtqtIiJsfiE,693001,1254,77,84,0,10,0
PT6M1S,3/30/2017,s4tS-ZmpJfw,https://i.ytimg.com/vi/s4tS-ZmpJfw/maxresdefault.jpg,Reflectional Symmetry and Rotational Symmetry | Don't Memorise,https://www.youtube.com/embed/s4tS-ZmpJfw,659816,420,24,87,0,11,0
PT15M47S,5/19/2020,TzNOznXHpaA,https://i.ytimg.com/vi/TzNOznXHpaA/maxresdefault.jpg,Symmetry - Grade 8 - 11th lesson - English Medium - Sri Lankan National Curriculum,https://www.youtube.com/embed/TzNOznXHpaA,3764,200,69,85,0,10,0
PT3M7S,5/26/2015,nufZ41Kg5c,https://i.ytimg.com/vi/-nufZ41Kg5c/maxresdefault.jpg,Constructing quadrilateral based on symmetry | Transformations | Geometry | Khan Academy,https://www.youtube.com/embed/-nufZ41Kg5c,57412,5823,240,95,0,12,0
PT5M33S,8/18/2016,59s_CQjTD6w,https://i.ytimg.com/vi/59s_CQjTD6w/maxresdefault.jpg,Identifying symmetrical figures  | Math | 4th grade | Khan Academy,https://www.youtube.com/embed/59s_CQjTD6w,172016,11569,530,96,0,11,0
PT2M36S,3/27/2015,YFzktJNmnPU,"https://i.ytimg.com/vi/YFzktJNmnPU/maxresdefault.jpg"", ",Intro to Symmetry: All About Symmetry for Kids - FreeSchool,https://www.youtube.com/embed/YFzktJNmnPU,1160918,9210,104,85,0,11,0
PT6M57S,11/4/2011,Uz0MtFlLD-k,https://i.ytimg.com/vi/Uz0MtFlLD-k/maxresdefault.jpg,Relations and functions | Functions and their graphs | Algebra II | Khan Academy,https://www.youtube.com/embed/Uz0MtFlLD-k,1351375,450,150,86,0,0,0
PT1M40S,10/12/2017,435Ipnmp7bA,https://i.ytimg.com/vi/435Ipnmp7bA/maxresdefault.jpg,Line of reflection example,https://www.youtube.com/embed/435Ipnmp7bA,80571,820,130,87,0,1,0
PT7M23S,7/16/2015,XiAoUDfrar0,https://i.ytimg.com/vi/XiAoUDfrar0/maxresdefault.jpg,Introduction to transformations | Transformations | Geometry | Khan Academy,https://www.youtube.com/embed/XiAoUDfrar0,955610,856,230,88,0,23,0
PT3M33S,1/7/2017,MW0kDNHS6lo,https://i.ytimg.com/vi/MW0kDNHS6lo/maxresdefault.jpg,Symmetrical & Non Symmetrical Shapes,https://www.youtube.com/embed/MW0kDNHS6lo,238501,495,95,89,0,2,0
PT10M25S,4/15/2018,Co5dkxa1m0,https://i.ytimg.com/vi/-Co5dkxa1m0/maxresdefault.jpg,"Line of symmetry (2D shapes) : used \""paper-cut-out shape\"" to explain",https://www.youtube.com/embed/-Co5dkxa1m0,47818,6520,130,91,0,1,0
PT6M47S,6/28/2019,L3g9B5Hzzo4,https://i.ytimg.com/vi/L3g9B5Hzzo4/maxresdefault.jpg,"Symmetrical And Asymmetrical Shapes | Math | Grade-3,4 | Tutway |",https://www.youtube.com/embed/L3g9B5Hzzo4,331730,568,50,92,0,2,0
PT4M34S,7/14/2020,Ae6kn4BqqrA,https://i.ytimg.com/vi/Ae6kn4BqqrA/maxresdefault.jpg,Intro to Symmetry (Part 2) | What is Symmetry? | Lines of Symmetry,https://www.youtube.com/embed/Ae6kn4BqqrA,29784,5566,86,93,0,3,0
PT3M38S,7/14/2020,dAqDwuHOi4g,https://i.ytimg.com/vi/dAqDwuHOi4g/maxresdefault.jpg,Intro to Symmetry (Part 1) | What is Symmetry? | Lines of Symmetry,https://www.youtube.com/embed/dAqDwuHOi4g,69092,5588,84,95,0,5,0
PT7M23S,6/23/2010,dfoXtodyiIA,https://i.ytimg.com/vi/dfoXtodyiIA/maxresdefault.jpg,Parabola vertex and axis of symmetry | Quadratic equations | Algebra I | Khan Academy,https://www.youtube.com/embed/dfoXtodyiIA,729643,7596,26,96,0,4,0
PT13M15S,3/26/2014,iPwrDWQ7hPc,https://i.ytimg.com/vi/iPwrDWQ7hPc/maxresdefault.jpg,Binomial theorem | Polynomial and rational functions | Algebra II | Khan Academy,https://www.youtube.com/embed/iPwrDWQ7hPc,1259202,6352,52,94,0,8,0
