VideoDuration,PubliedDate,VideoID,VideoImageURL,VideoTitle,VideoURL,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT4M0S,8/10/2015,5xe-6GPR_qQ,https://i.ytimg.com/vi/5xe-6GPR_qQ/maxresdefault.jpg,Finding factors and multiples | Factors and multiples | Pre-Algebra | Khan Academy,https://www.youtube.com/embed/5xe-6GPR_qQ,584288,1005,20,85,0,15,5
PT9M53S,8/6/2010,vcn2ruTOwFo,https://i.ytimg.com/vi/vcn2ruTOwFo/maxresdefault.jpg,Finding factors of a number | Factors and multiples | Pre-Algebra | Khan Academy,https://www.youtube.com/embed/vcn2ruTOwFo,1268454,3520,10,85,0,5,5
PT89M13S,8/26/2020,FslcXS-SJ4g,https://i.ytimg.com/vi/FslcXS-SJ4g/maxresdefault.jpg,Lesson 11. Factors and Multiples | Maths Session for Grade 06,https://www.youtube.com/embed/FslcXS-SJ4g,8011,2501,50,85,0,50,5
PT6M51S,5/2/2020,0IZyGB1qQmM,https://i.ytimg.com/vi/0IZyGB1qQmM/maxresdefault.jpg,Factors and Multiples | Mathematics Grade 5 | Periwinkle,https://www.youtube.com/embed/0IZyGB1qQmM,469664,4210,77,85,0,50,5
PT6M18S,4/16/2012,0NvLtTwnUHs,https://i.ytimg.com/vi/0NvLtTwnUHs/maxresdefault.jpg,Math Antics - Factoring,https://www.youtube.com/embed/0NvLtTwnUHs,1520565,1325,24,90,0,50,5
PT7M21S,9/1/2020,47KLARvx3uo,https://i.ytimg.com/vi/47KLARvx3uo/hqdefault.jpg,Grade 6 Mathematics - Factors and Multiples  (1st & 2nd Lessons) [English Medium,https://www.youtube.com/embed/47KLARvx3uo,814,200,69,90,0,50,5
PT6M40S,4/16/2012,XGbOiYhHY2c,https://i.ytimg.com/vi/XGbOiYhHY2c/maxresdefault.jpg,Math Antics - Prime Factorization,https://www.youtube.com/embed/XGbOiYhHY2c,1756002,523,240,90,0,55,55
PT5M26S,12/3/2020,1qPfLkOEuYY,https://i.ytimg.com/vi/1qPfLkOEuYY/maxresdefault.jpg,Multiples vs. Factors | What are Multiples and Factors? | Math with Mr. J,https://www.youtube.com/embed/1qPfLkOEuYY,58194,11569,530,90,0,5,5
PT3M4S,8/12/2015,rUrLuTMq-sw,https://i.ytimg.com/vi/rUrLuTMq-sw/maxresdefault.jpg,What are Multiples of a Number? How are Factors and Multiples related? | Don't Memorise,https://www.youtube.com/embed/rUrLuTMq-sw,780191,9210,104,90,0,55,5
PT195M13S,8/7/2020,HL2v6rF4zhU,https://i.ytimg.com/vi/HL2v6rF4zhU/maxresdefault.jpg,Lesson 4. Factors and Multiples (Part I) | Maths Session for Grade 07,https://www.youtube.com/embed/HL2v6rF4zhU,25832,450,150,90,0,55,5
PT15M9S,12/17/2018,garwCSnpNhI,https://i.ytimg.com/vi/garwCSnpNhI/maxresdefault.jpg,Factors and Multiples made easy |Prime Factorization| Find factors of all numbers| Class 1 to 5 ,https://www.youtube.com/embed/garwCSnpNhI,301085,820,130,90,0,50,5
PT3M46S,5/26/2016,NtkjbVb3Zv8,https://i.ytimg.com/vi/NtkjbVb3Zv8/maxresdefault.jpg,GCF,https://www.youtube.com/embed/NtkjbVb3Zv8,4669584,856,230,90,0,60,5
