VideoDuration,PubliedDate,VideoID,VideoImageURL,VideoTitle,VideoURL,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT6M17S,11/24/2010,aqsIWLqlDhE,Number sets 1 | Fractions | Pre-Algebra | Khan Academy,Number sets 1 | Fractions | Pre-Algebra | Khan Academy,https://www.youtube.com/embed/aqsIWLqlDhE,173015,20123,568,80,0,1,0
PT7M29S,2/8/2019,05Z_dudVav0,https://i.ytimg.com/vi/05Z_dudVav0/maxresdefault.jpg,Introduction to Sets for Roster Method & Set Builder Form | Algebra |  Math | Letstute,https://www.youtube.com/embed/05Z_dudVav0,307584,1245,56,85,0,12,0
PT8M11S,7/2/2018,VBzlvKP-2yI,https://i.ytimg.com/vi/VBzlvKP-2yI/maxresdefault.jpg,Types of sets,https://www.youtube.com/embed/VBzlvKP-2yI,485734,2356,262,86,0,21,0
PT11M49S,2/7/2018,xZELQc11ACY,https://i.ytimg.com/vi/xZELQc11ACY/maxresdefault.jpg,"Intersection of Sets, Union of Sets and Venn Diagrams",https://www.youtube.com/embed/xZELQc11ACY,685562,2456,325,84,0,10,0
PT5M17S,7/15/2011,Ksu1lo312BM,https://i.ytimg.com/vi/Ksu1lo312BM/maxresdefault.jpg,Number sets | Fractions | Pre-Algebra | Khan Academy,https://www.youtube.com/embed/Ksu1lo312BM,282656,8752,1223,87,0,11,0
PT14M41S,2/7/2018,FLgiccWl434,https://i.ytimg.com/vi/FLgiccWl434/maxresdefault.jpg,Set Builder Notation and Roster Method,https://www.youtube.com/embed/FLgiccWl434,396106,3691,62,85,0,10,0
PT7M44S,3/12/2013,jAfNg3ylZAI,https://i.ytimg.com/vi/jAfNg3ylZAI/maxresdefault.jpg,Intersection and union of sets | Probability and Statistics | Khan Academy,https://www.youtube.com/embed/jAfNg3ylZAI,880847,2584,235,95,0,12,0
PT14M43S,3/28/2018,fLMN0wtiz-4,https://i.ytimg.com/vi/fLMN0wtiz-4/maxresdefault.jpg,"Sets: Union, Intersection, Complement",https://www.youtube.com/embed/fLMN0wtiz-4,310883,3969,231,96,0,11,0
PT8M18S,5/26/2015,0ZKtsUkrgFQ,https://i.ytimg.com/vi/0ZKtsUkrgFQ/maxresdefault.jpg,Ways to represent data | Data and statistics | 6th grade | Khan Academy,https://www.youtube.com/embed/0ZKtsUkrgFQ,570962,1452,526,85,0,11,0
PT6M57S,11/4/2011,Uz0MtFlLD-k,https://i.ytimg.com/vi/Uz0MtFlLD-k/maxresdefault.jpg,Relations and functions | Functions and their graphs | Algebra II | Khan Academy,https://www.youtube.com/embed/Uz0MtFlLD-k,13515227,33652,324,86,0,0,0
PT2M52S,6/26/2010,psyWUUkI-aw,https://i.ytimg.com/vi/psyWUUkI-aw/maxresdefault.jpg,Number sets 3 | Fractions | Pre-Algebra | Khan Academy,https://www.youtube.com/embed/psyWUUkI-aw,80075,2415,232,87,0,1,0
PT9M36S,6/23/2015,UJQkqV2zGv0,https://i.ytimg.com/vi/UJQkqV2zGv0/maxresdefault.jpg,Intervals and interval notation | Functions | Algebra I | Khan Academy,https://www.youtube.com/embed/UJQkqV2zGv0,699897,2569,154,88,0,23,0
PT14M13S,11/5/2009,HpdMJaKaXXc,https://i.ytimg.com/vi/HpdMJaKaXXc/maxresdefault.jpg,"Introduction to ratios | Ratios, proportions, units, and rates | Pre-Algebra | Khan Academy",https://www.youtube.com/embed/HpdMJaKaXXc,1903500,8548,62,89,0,2,0
PT21M59S,10/16/2017,OG045QBuUrg,https://www.youtube.com/embed/OG045QBuUrg,Problem solving Venn Diagrams- 3 sets HL,https://www.youtube.com/embed/OG045QBuUrg,385355,6532,36,91,0,1,0
PT3M40S,12/17/2014,8innwDI1bv8,https://i.ytimg.com/vi/8innwDI1bv8/maxresdefault.jpg,What is a Universal Set? | Don't Memorise,https://www.youtube.com/embed/8innwDI1bv8,234114,2589,521,92,0,2,0
PT8M54S,11/16/2012,h8EYEJ32oQ8,https://i.ytimg.com/vi/h8EYEJ32oQ8/maxresdefault.jpg,"Statistics intro: Mean, median, and mode | Data and statistics | 6th grade | Khan Academy",https://www.youtube.com/embed/h8EYEJ32oQ8,2277947,6548,452,93,0,3,0
PT5M7S,2/12/2015,2oJldeE4JcU,https://i.ytimg.com/vi/2oJldeE4JcU/maxresdefault.jpg,Thinking about shapes of distributions | Data and statistics | 6th grade | Khan Academy,https://www.youtube.com/embed/2oJldeE4JcU,378171,5214,325,95,0,5,0
PT5M54S,12/23/2013,cLP7INqs3JM,https://i.ytimg.com/vi/cLP7INqs3JM/maxresdefault.jpg,Introduction to rational and irrational numbers | Algebra I | Khan Academy,https://www.youtube.com/embed/cLP7INqs3JM,1664245,6985,152,96,0,4,0
PT6M15S,3/12/2013,2B4EBvVvf9w,https://i.ytimg.com/vi/2B4EBvVvf9w/maxresdefault.jpg,Relative complement or difference between sets | Probability and Statistics | Khan Academy,https://www.youtube.com/embed/2B4EBvVvf9w,274311,6325,3214,94,0,8,0
PT7M29S,2/8/2019,05Z_dudVav0,https://i.ytimg.com/vi/05Z_dudVav0/maxresdefault.jpg,Introduction to Sets for Roster Method & Set Builder Form | Algebra |  Math | Letstute,https://www.youtube.com/embed/05Z_dudVav0,307620,2321,12,89,0,9,0
PT2M18S,12/17/2014,l3-A0O42Lyo,https://i.ytimg.com/vi/l3-A0O42Lyo/maxresdefault.jpg,What are Sets? | Set Theory | Don't Memorise,https://www.youtube.com/embed/l3-A0O42Lyo,356712,1124,320,88,0,6,0
PT8M11S,7/2/2018,VBzlvKP-2yI,https://i.ytimg.com/vi/VBzlvKP-2yI/maxresdefault.jpg,Types of sets,https://www.youtube.com/embed/VBzlvKP-2yI,485182,2563,125,79,0,5,0
PT11M49S,2/7/2018,xZELQc11ACY,https://i.ytimg.com/vi/xZELQc11ACY/maxresdefault.jpg,"Intersection of Sets, Union of Sets and Venn Diagrams",https://www.youtube.com/embed/xZELQc11ACY,685596,2485,23,98,0,4,0
PT17M49S,5/17/2020,8dup8yGwBhM,https://i.ytimg.com/vi/8dup8yGwBhM/maxresdefault.jpg,Types of Sets Grade 6,https://i.ytimg.com/vi/8dup8yGwBhM/maxresdefault.jpg,7954,250,61,89,70,7,0
PT9M40S,4/16/2012,dAgfnK528RA,https://i.ytimg.com/vi/dAgfnK528RA/maxresdefault.jpg,Math Antics - Order Of Operations,https://www.youtube.com/embed/dAgfnK528RA,539557,6542,20,0,74,5,95
PT9M26S,3/22/2016,T5Qf0qSSJFI,https://i.ytimg.com/vi/T5Qf0qSSJFI/maxresdefault.jpg,Math Antics - Place Value,https://www.youtube.com/embed/T5Qf0qSSJFI,2192881,1698,152,0,75,2,98
PT8M14S,11/10/2017,LERb-94P8po,https://i.ytimg.com/vi/LERb-94P8po/maxresdefault.jpg,Simple Math Tricks You Weren\u2019t Taught at School,https://www.youtube.com/embed/LERb-94P8po,6216570,9512,235,0,78,1,96
PT13M53S,3/16/2021,vV7C7bXm4VI,https://i.ytimg.com/vi/vV7C7bXm4VI/maxresdefault.,Math Antics - Number Patterns,https://www.youtube.com/embed/vV7C7bXm4VI,195260,852,235,0,74,2,95
PT15M42S,5/2/2020,YQnczP8cl_I,https://i.ytimg.com/vi/YQnczP8cl_I/maxresdefault.jpg,Introduction of SET | Chapter 1 | Class 6 | Math Study Nepal,,25969,369,253,0,75,11,98
PT10M59S,1/24/2021,YrvtO7nmBVk,https://i.ytimg.com/vi/YrvtO7nmBVk/maxresdefault.jpg,Class 6 - Mathematics - Chapter 1 - Lecture 1 Introduction to sets - Allied Schools,https://www.youtube.com/embed/YrvtO7nmBVk,15633,852,25,0,2,14,85
PT11M4S,3/3/2017,B1HEzNTGeZ4,https://i.ytimg.com/vi/B1HEzNTGeZ4/maxresdefault.jpg,"Math Antics - Mean, Median and Mode",https://www.youtube.com/embed/B1HEzNTGeZ4,3265951,2148,235,0,5,12,85
PT14M6S,10/27/2019,RY2wQY70TeY,https://i.ytimg.com/vi/RY2wQY70TeY/maxresdefault.jpg,26 FAST MATHS TRICKS YOU MUST KNOW,https://www.youtube.com/embed/RY2wQY70TeY,8495500,522,625,0,65,15,85
PT12M7S,5/22/2015,NybHckSEQBI,https://i.ytimg.com/vi/NybHckSEQBI/maxresdefault.jpg,Algebra Basics: What Is Algebra? - Math Antics,https://www.youtube.com/embed/NybHckSEQBI,4929920,586,56,0,85,52,84
PT57M53S,10/10/2019,lv6dC0coQeI,https://i.ytimg.com/vi/lv6dC0coQeI/maxresdefault.jpg,"Earth Science for Kids - Solar System, Weather, Fossils, Volcanoes & More - Rock 'N Learn",https://www.youtube.com/embed/lv6dC0coQeI,1567840,214,256,0,74,42,84
PT8M53S,10/30/2012,JeVSmq1Nrpw,https://i.ytimg.com/vi/JeVSmq1Nrpw/maxresdefault.jpg,Math Antics - What Are Percentages?,https://www.youtube.com/embed/JeVSmq1Nrpw,6515983,8596,666,0,75,53,85
