VideoDuration,PubliedDate,VideoID,VideoImageURL,VideoTitle,VideoURL,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT160M10S,7/2/2020,CT9iX5osAs4,https://i.ytimg.com/vi/CT9iX5osAs4/maxresdefault.jpg,Lesson 5. Algebraic Expressions | Maths Session for Grade 08,https://www.youtube.com/embed/CT9iX5osAs4,28774,452,445,85,0,15,5
PT14M45S,6/1/2020,20BYGqGufY8,https://i.ytimg.com/vi/20BYGqGufY8/maxresdefault.jpg,Grade 8 - Mathematics - Algebraic Expression 1 / WorksheetCloud Online Lesson,https://www.youtube.com/embed/20BYGqGufY8,13162,321,36,85,0,5,5
PT105M36S,6/21/2020,GYevDfFTCUs,https://i.ytimg.com/vi/GYevDfFTCUs/maxresdefault.jpg,Lesson 5. Algebraic Expressions |  Maths Session for Grade 09,https://www.youtube.com/embed/GYevDfFTCUs,17363,420,85,85,0,50,5
PT12M7S,5/22/2015,NybHckSEQBI,https://i.ytimg.com/vi/NybHckSEQBI/maxresdefault.jpg,Algebra Basics: What Is Algebra? - Math Antics,https://www.youtube.com/embed/NybHckSEQBI,4949791,8521,452,85,0,50,5
PT161M49S,7/2/2020,CMK8cTOSilU,https://i.ytimg.com/vi/CMK8cTOSilU/maxresdefault.jpg,Lesson 6. Factors of the Algebraic Expressions | Maths Session for Grade 9,https://www.youtube.com/embed/CMK8cTOSilU,13837,123,12,90,0,50,5
PT11M26S,3/21/2020,nn_6exr-ShA,https://i.ytimg.com/vi/nn_6exr-ShA/maxresdefault.jpg,Algebraic Expressions - Class 8 Math,https://www.youtube.com/embed/nn_6exr-ShA,12349,456,62,90,0,50,5
PT116M18S,7/16/2020,49G43UkVvEM,https://i.ytimg.com/vi/49G43UkVvEM/maxresdefault.jpg,Lesson 7. Factors | Maths Session for Grade 08,https://www.youtube.com/embed/49G43UkVvEM,13833,123,12,90,0,55,55
PT4M11S,12/30/2019,Kzj0B8VUXC8,https://i.ytimg.com/vi/Kzj0B8VUXC8/maxresdefault.jpg,Math lesson for Grade 7 - What are Algebraic Expressions,https://www.youtube.com/embed/Kzj0B8VUXC8,47667,741,75,90,0,5,5
PT34M42S,4/26/2012,jGjsVfhVlz8,https://i.ytimg.com/vi/jGjsVfhVlz8/maxresdefault.jpg,Algebra Grade 8 Tutorial,https://www.youtube.com/embed/jGjsVfhVlz8,138001,852,85,90,0,55,5
PT8M40S,4/6/2020,fheL2_Je0Mo,https://i.ytimg.com/vi/fheL2_Je0Mo/maxresdefault.jpg,u0dad\u0dad\u0dca\u0db4\u0dbb \u0daf\u0dd9\u0d9a\u0dd9\u0db1\u0dca \u0d9c\u0dd4\u0dab \u0d9a\u0dbb\u0db1\u0dca\u0db1 \u0dbb\u0dc4\u0dc3\u0dca \u0d9a\u0dca\u200d\u0dbb\u0db8 5\u0d9a\u0dca | Math tricks |\u0d9c\u0dab\u0dd2\u0dad \u0dbb\u0dc4\u0dc3\u0dca,https://www.youtube.com/embed/fheL2_Je0Mo,599377,963,95,90,0,55,5
