VideoDuration,PubliedDate,VideoID,VideoImageURL,VideoTitle,VideoURL,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT5M54S,12/23/2013,cLP7INqs3JM,https://i.ytimg.com/vi/cLP7INqs3JM/maxresdefault.jpg,Introduction to rational and irrational numbers | Algebra I | Khan Academy,https://www.youtube.com/embed/cLP7INqs3JM,1667161,950,56,85,0,15,5
PT9M16S,11/25/2006,C38B33ZywWs,https://i.ytimg.com/vi/C38B33ZywWs/maxresdefault.jpg,Adding/subtracting negative numbers | Pre-Algebra | Khan Academy,https://www.youtube.com/embed/C38B33ZywWs,1325599,852,23,85,0,5,5
PT3M8S,12/2/2014,qW-Ce44ll0Q,https://i.ytimg.com/vi/qW-Ce44ll0Q/maxresdefault.jpg,Negative numbers and number line examples | Pre-Algebra | Khan Academy,https://www.youtube.com/embed/qW-Ce44ll0Q,419121,620,52,85,0,50,5
PT12M54S,6/28/2017,jVvvUiExjes,https://i.ytimg.com/vi/jVvvUiExjes/maxresdefault.jpg,Adding and Subtracting Integers Using a Simple Method,https://www.youtube.com/embed/jVvvUiExjes,1574736,785,45,85,0,50,5
PT9M36S,2/15/2011,Hlal9ME2Aig,https://i.ytimg.com/vi/Hlal9ME2Aig/maxresdefault.jpg,Negative numbers introduction | Negative numbers and absolute value | Pre-Algebra | Khan Academ,https://www.youtube.com/embed/Hlal9ME2Aig,2045291,659,85,90,0,50,5
PT4M7S,8/10/2015,NQSN00zL5gg,https://i.ytimg.com/vi/NQSN00zL5gg/maxresdefault.jpg,Adding and subtracting negative numbers | Pre-Algebra | Khan Academy,https://www.youtube.com/embed/NQSN00zL5gg,1880801,856,95,90,0,50,5
PT4M0S,8/4/2015,Xtcylk5r0g8,https://i.ytimg.com/vi/Xtcylk5r0g8/maxresdefault.jpg,Equivalent expressions with distribution and negative numbers | 7th grade | Khan Academy,https://www.youtube.com/embed/Xtcylk5r0g8,109567,152,68,90,0,55,55
PT11M23S,10/27/2014,_BgblvF90UE,https://i.ytimg.com/vi/_BgblvF90UE/maxresdefault.jpg,Math Antics - Adding & Subtracting Integers,https://www.youtube.com/embed/_BgblvF90UE,2285902,321,85,90,0,5,5
PT5M24S,4/28/2015,mbc3_e5lWw0,https://i.ytimg.com/vi/mbc3_e5lWw0/maxresdefault.jpg,Introduction to square roots | Numbers and operations | 8th grade | Khan Academy,https://www.youtube.com/embed/mbc3_e5lWw0,1015819,542,48,90,0,55,5
PT3M12S,1/29/2015,2Zk6u7Uk5ow,https://i.ytimg.com/vi/2Zk6u7Uk5ow/maxresdefault.jpg,Opposite of a number | Negative numbers | 6th grade | Khan Academy,https://www.youtube.com/embed/2Zk6u7Uk5ow,523588,62,10,90,0,55,5
