VideoDuration,PubliedDate,VideoID,VideoImageURL,VideoTitle,VideoURL,VideoViews,Like,Unlike,Khan Style%,Animation%  ,Talking Head%                 ,Whiteboard%
PT33M16S,6/8/2020,hy95VyPet-M,https://i.ytimg.com/vi/hy95VyPet-M/maxresdefault.jpg,01 - Angles and Angle Measure in Degrees - Part 1 - Types of Angles & What is an Angle?,https://www.youtube.com/embed/hy95VyPet-M,49625,955,63,0,85,10,5
PT7M46S,9/9/2013,DGKwdHMiqCg,https://i.ytimg.com/vi/DGKwdHMiqCg/maxresdefault.jpg,Math Antics - Angle Basics,https://www.youtube.com/embed/DGKwdHMiqCg,3403602,857,75,5,85,10,10
PT11M12S,2/19/2018,C8ywY61EDGQ,https://i.ytimg.com/vi/C8ywY61EDGQ/maxresdefault.jpg,Grade 8 Geometry,https://www.youtube.com/embed/C8ywY61EDGQ,39696,62,21,5,85,10,10
PT10M54S,5/29/2013,MEFlB5zSgdM,https://i.ytimg.com/vi/MEFlB5zSgdM/maxresdefault.jpg,Angle Pairs 8th Grade Math,https://www.youtube.com/embed/MEFlB5zSgdM,26872,75,16,5,85,10,10
PT10M26S,5/12/2014,xCdxURXMdFY,https://i.ytimg.com/vi/xCdxURXMdFY/maxresdefault.jpg,Math Antics - Area,https://www.youtube.com/embed/xCdxURXMdFY,4805012,852,96,5,85,20,10
PT7M54S,9/9/2013,k5etrWdIY6o,https://i.ytimg.com/vi/k5etrWdIY6o/maxresdefault.jpg,"Math Antics - Points, Lines, & Planes",https://www.youtube.com/embed/k5etrWdIY6o,1501509,963,152,5,85,20,10
PT9M17S,9/9/2013,n3KZR1DSEo,Math Antics - Angles & Degrees,https://i.ytimg.com/vi/_n3KZR1DSEo/maxresdefault.jpg,https://www.youtube.com/embed/_n3KZR1DSEo,1877721,852,240,5,85,20,10
PT11M17S,2/24/2013,LGqBQrUYua4,https://i.ytimg.com/vi/LGqBQrUYua4/maxresdefault.jpg,Math Antics - Long Division,https://www.youtube.com/embed/LGqBQrUYua4,6431999,753,250,5,85,20,10
PT18M43S,3/2/2021,AeioiOxigu4,https://i.ytimg.com/vi/AeioiOxigu4/maxresdefault.jpg,"Understand Points, Lines, Rays, Segments & Angles in Geometry  - [7]"", ",https://www.youtube.com/embed/AeioiOxigu4,6813,42,12,5,85,25,10
PT5M56S,12/19/2014,6RMN5Pf1fHU,https://i.ytimg.com/vi/6RMN5Pf1fHU/maxresdefault.jpg,Angles Formed by a Transversal with Two Parallel Lines | Don't Memorise,https://www.youtube.com/embed/6RMN5Pf1fHU,711359,456,120,5,8,25,10
PT4M11S,5/20/2015,XUus6-9E9sQ,https://i.ytimg.com/vi/XUus6-9E9sQ/maxresdefault.jpg,Everything About Circle Theorems - In 3 minutes,https://www.youtube.com/embed/XUus6-9E9sQ,1532084,987,25,5,5,25,10
PT5M44S,4/12/2019,1dt6hQbnPww,https://i.ytimg.com/vi/1dt6hQbnPww/maxresdefault.jpg,Types of Angles & It's Measurements,https://www.youtube.com/embed/1dt6hQbnPww,299990,962,51,5,85,25,10
PT5M8S,1/29/2020,vrAPxzO-cjc,https://i.ytimg.com/vi/vrAPxzO-cjc/maxresdefault.jpg,How to Remember what you study? | How to Increase your Memory Power? | Study Tips | Letstute,https://www.youtube.com/embed/vrAPxzO-cjc,1375744,785,58,0,85,25,10
PT4M20S,6/26/2019,xzAGoErwAxg,https://i.ytimg.com/vi/xzAGoErwAxg/maxresdefault.jpg,Angles - Types and definition - Mathematics for kids,https://www.youtube.com/embed/xzAGoErwAxg,234931,965,65,0,90,25,10
PT41M56S,7/25/2017,e4o7X6LyX-I,ttps://i.ytimg.com/vi/e4o7X6LyX-I/maxresdefault.jpg,"Parallel and Perpendicular Lines, Transversals, Alternate Interior Angles, Alternate Exterior Angles",https://www.youtube.com/embed/e4o7X6LyX-I,433130,458,84,0,90,25,10
PT10M14S,9/26/2016,9Uc62CuQjc4,https://i.ytimg.com/vi/9Uc62CuQjc4/maxresdefault.jpg,Algebra Basics: Graphing On The Coordinate Plane - Math Antics,https://www.youtube.com/embed/9Uc62CuQjc4,2205774,965,75,0,90,25,10
PT11M3S,11/13/2018,c0RWBk6wonk,https://i.ytimg.com/vi/c0RWBk6wonk/maxresdefault.jpg,Lines and Angles | Geometry | Math | Letstute,https://www.youtube.com/embed/c0RWBk6wonk,133135,542,85,0,90,25,20
PT6M19S,8/5/2018,PE5LSn96rzU,https://i.ytimg.com/vi/PE5LSn96rzU/maxresdefault.jpg,"Construction of angle of 15, 30, 45, 60, 75, 90, 105, 120, 135, 150, 165 and 180 degree new",https://www.youtube.com/embed/PE5LSn96rzU,1529521,853,95,0,90,25,20
PT30M40S,8/28/2018,i_CijGuk7fw,https://i.ytimg.com/vi/i_CijGuk7fw/maxresdefault.jpg,"01 - Introduction to Physics, Part 1 (Force, Motion & Energy) - Online Physics Course",https://www.youtube.com/embed/i_CijGuk7fw,697574,751,65,0,90,25,2
PT10M41S,11/23/2015,fd-E18EqSVk,https://i.ytimg.com/vi/fd-E18EqSVk/maxresdefault.jpg,Math Antics - Rounding,https://www.youtube.com/embed/fd-E18EqSVk,2330804,953,84,0,90,25,2
PT93M20S,8/18/2018,6s09a6gag7g,https://i.ytimg.com/vi/6s09a6gag7g/maxresdefault.jpg,Meet the Math Facts - Multiplication & Division Level 1 (FREE) | Preschool Prep ,https://www.youtube.com/embed/6s09a6gag7g,5020760,854,75,0,90,25,0
PT20M25S,2/11/2020,nT6nSlZ0FIQ,https://i.ytimg.com/vi/nT6nSlZ0FIQ/maxresdefault.jpg,Spherical Mirrors,https://www.youtube.com/embed/nT6nSlZ0FIQ,611528,752,65,0,95,25,20
PT7M40S,10/13/2013,mLeNaZcy-hE,https://i.ytimg.com/vi/mLeNaZcy-hE/maxresdefault.jpg,Math Antics - Triangles,https://www.youtube.com/embed/mLeNaZcy-hE,2254064,956,85,,95,1,2
PT22M21S,9/13/2018,KqlFNzBMevg,https://i.ytimg.com/vi/KqlFNzBMevg/maxresdefault.jpg,Introduction - Data Handling Chapter 5 - NCERT Class 8th Maths Solutions,https://www.youtube.com/embed/KqlFNzBMevg,730762,856,45,5,95,51,2
PT4M17S,5/14/2019,9RTM418qfdI,https://i.ytimg.com/vi/9RTM418qfdI/maxresdefault.jpg,Angles: measuring angles and their names! | Educational Videos for Kids,https://www.youtube.com/embed/9RTM418qfdI,491954,485,96,5,95,51,2
PT20M13S,6/28/2020,vCJ2Zuu0njg,https://i.ytimg.com/vi/vCJ2Zuu0njg/maxresdefault.jpg,Class 5 || Maths || Shapes || Angles || Types of Angles and measurement,https://www.youtube.com/embed/vCJ2Zuu0njg,16779,532,65,5,95,51,20
PT4M20S,6/26/2019,xzAGoErwAxg,https://i.ytimg.com/vi/xzAGoErwAxg/maxresdefault.jpg,Angles - Types and definition - Mathematics for kids,https://www.youtube.com/embed/xzAGoErwAxg,234927,658,85,5,95,51,20
