Number Partens,KSrnZMAfwTM,So let's say I have tables where
,,I can fit one person at either of the short ends of the table. So I could fit one person there. I could fit one person there. You could view this as we're
,,looking from above the table here. So we could put one
,,person at either of the short ends of the table. And then on these longer
,,"ends right over here, we can fit two people. We can fit two people"
,,"at the longer end. So when you have one table,"
,,"you could fit one, two, three, four, five, six people. You could fit six people. Now let's think"
,,about what happens as we add tables end to end
,,to this table right over here. So let's imagine now two tables. So here we have
,,"one table, and it's going to touch ends with"
,,this table right over here. And because it touches
,,ends right over here-- we're making it one
,,big continuous table-- you can't fit
,,someone here anymore. So now how many
,,"people can we fit? Let's see. We can fit one, two,"
,,"three, four, five. And then on this table,"
,,"which is identical, you could fit six,"
,,"seven, eight, nine. And then you could"
,,put one person at the end right over here. So when you have two
,,"tables end to end, you can fit a"
,,total of 10 people. Let's keep going and see if we
,,can think of a pattern here. So let's put three
,,"tables here-- so one table, two tables,"
,,"and three tables. So just as before, we"
,,"could put one at each end. So that's two people. Then we have 3, 4, 5, 6,"
,,"7, 8, 9, 10, 11, 12, 13, 14 folks-- 14 folks. So what does it look"
,,like is happening here. Well if you just
,,"look at the numbers, we went from 6 to 10 to 14. It looks like we're adding four"
,,people every time we actually add a table. Now does that
,,actually makes sense? So let's think about
,,this first situation. Let's imagine these
,,"are real people, and I'll make this person"
,,in blue right over here. If you were to bring
,,"over this new table, if you bring over table"
,,two-- so this is table one-- this blue person has to move. And so where could they move? Let's say that
,,they always insist on sitting at the
,,end of a table. So the blue person moves to
,,the new end of the table. They move right over here. So how many new people could
,,move to this combined table now that you brought
,,this second table in? Well the new people I will
,,do in this purple color. The new people are
,,that person-- let me do it in a more unique
,,"color-- this person, this person, this"
,,"person, and this person. So you were able to add four"
,,new people with the new table. One way to think about
,,it is a new table is going to have
,,one usable end here. That usable end is going to
,,be taken by the person who was already at the usable end
,,of when you had less tables. And so the real addition
,,is the two sides here. So you're adding four people
,,"every time you add a table. So it makes complete sense. So based on this, you"
,,"could think about, without even having to draw"
,,"these diagrams, how many people you would be able to fit"
,,"if you had four or five or six or however many tables. So you could imagine,"
,,"if you have four tables, we just have to"
,,"add four, and you should be able to sit 18 people. If you have five"
,,"tables, you should be able to fit 22 people"
,,and on and on and on.
,,
Number Partens,flXVRy1hjf4,hello grade 8 children today I am here to teach you mathematics relevant to your textbook so what's the first unit in your textbook that's called number patterns so 
,,this is an interesting topic and we'll create number patterns using numbers so let's take 1 2 3 what are those those are digits so here we call these are counting numbers as well counting numbers so one two three like that we can't write all numbers so that's why we put three dots after this so if any pattern if you can't write 
,,it all you have to put three dots we can create different number patterns from these counting numbers so let's take different patterns check the first one one three 
,,five seven nine what are those we call these are odd numbers numbers less than ten only if you take odd numbers you have to write down 11 13 like that but this is the number set less than check so that's why here we put curly brackets and write down 1 1 3 5 7 9 so here you can't see 3 dots this is not continuing now we can find 
,,a next term by adding 2 to the previous so here how do you get 3 from 1 we can add 2 3 plus 2 you get 5 5 + 2 7 7 + 2 9 so since the exact number of terms in this number pattern can be specified therefore it is a finite number time so here certain numbers are there so remember this term finite number pad tick the same thing 1 3 
,,5 7 9 odd numbers less than 10 in this number pattern what's the first term the first number in the number pattern we call the first term so in this one what's the first term second term is 3 third term five fourth term seven and fifth term is now let's take these numbers 2 4 6 8 10 12 what are those those are even numbers so we can divide these numbers by 2 the remainder is 0 so here you see two three dots that means this number pattern continues what you call that that's called in finite 
,,number pattern so what's the first term in this sequence or number buggy that's 2 the second term is 4 36 4 8 and the fifth term so you know how to identify terms in the number pad and what are the two words you learn finite number pattern L in finite number pattern let's take this one 5 8 11 14 17 so when you take two numbers next to each other what do you call that consecutive term so here 5 & 8 are consecutive terms when you take 8 and 11 those are also consecutive terms so you can take 
,,any 2 you can take any two terms next to each other those are called consecutive terms so 14 and 17 also consecutive terms so we'll take that one and see the pattern how you get a it from five we need to add three 8 plus 3 you get 11 11 plus 3 14 14 plus 370 so how can we find out this number so you can take any two terms consecutive terms in the number pattern if you take this is the next term and the one before that that's called previous term we can take the difference so how do you get 
,,this number 11 minus 8 or 8 minus 5 so what you call that number common difference so you are learning another term that's common difference how you get the common difference you need two consecutive terms and take the difference when you are taking the difference don't subtract 5 minus 8 that's wrong so next term minus the previous term so we'll do that so you can either take 8 minus 5 Oh 11 minus 8 you are getting same answer or 14 minus 11 or 17-14 so that's how we find out the common difference let's take this one find the common difference of the following number pattern's now you know we can take the difference between two consecutive terms so you can take any two numbers so I'll take these two then what's the difference 16 minus 12 you get this one what's the common difference these two 36 minus 30 that's six when you take these two twenty minus ten that's ten look at this question write down the first five terms of the following number patterns you have given the first term and the common differences you can start from the first seven common difference is three means you need to add three to the previous term 7 + 3 10 10 plus 3 13 13 plus 3 16 16 plus 3 19 one two three four five and you can put three dots to show that it is continuing next one first term is 14 then common difference is plus four means adding four to the previous one four plus 14 plus 480 18 plus four 22 22 plus four 26 26 plus four 30 next one first term six and common difference six so that means multiples of six so starting from 6 6 plus 6 12 12 plus 6 18 18 plus 6 24 24 plus 6/13 this one first term is 12 and the common difference is eight at eight to that 12 plus 8 20 20 plus eight twenty eight twenty eight plus eight 36 36 Plus eight forty four one two three four five can put three dots after that look at this one right down the next two terms of the following sequences so you need to identify the pattern 712 so what's the common difference 12 minus 7 adding fine so that means in this number pattern the common difference is +5 so that means add 5 to that 27 plus 5 32 32 + 5 30 silver this one identify the common difference first you get server last 7 so what you do 41 is the last term so you add 7 to that you get 48 48 plus 750 this one what's the common difference how do you get 12 from 9 adding 3 let me you can start from here 21 plus three twenty four twenty four plus three twenty seven this Molly plus five 16 plus five you get 20 bar then you can 
,,start from here 36 plus five 41 41 plus five 46 this one have you get thirty from twenty four adding six to that so that means 48 plus 6 54 54 plus six that's 60 this one following number pattern is created multiplied the previous term by 2 now this is multiplication 2 times 2 you get 4 4 times 2 8 8 times 2 16 16 times 2 32 so 
