,Title,Topic,Title Length,Title Parsed,Title Parsed Length,Topic Codes
0,Types of sets,Sets,13,set type,8,0
1,CBSE Class 2 Maths | CBSE Maths Chapter 5 - Patterns | NCERT | CBSE Syllabus | Maths For Grade 2,Symmetry,96,syllabus ncert pattern,22,1
2,Why Do We Fart? - The Dr. Binocs Show | Best Learning Videos For Kids | Peekaboo Kidz,Operations of Whole Number,85,kid videos,10,2
3,Lesson 12. Triangles and Quadrilaterals | Maths Session for Grade 08,Number Patterns,68,triangles session,17,3
4,"Triangular Numbers 1, 3, 6, 10, 15 Non-Linear Pattern Rules",Number Patterns,59,pattern rule,12,3
5,Multiples & Factors || Find the factors || Trivial Factors || Maths Activities,Factors and Multiplication,78,multiples factor activities find,32,4
6,Factors and Multiples | Class 6 | Maths | CBSE | ICSE | FREE Tutorial,Factors and Multiplication,69,factor icse multiples tutorial free,35,4
7,Grade 8 - Mathematics - Algebraic Expression 1 / WorksheetCloud Online Lesson,Algebra Expression,77,algebraic expression online worksheetcloud,42,5
8,INTRODUCTION TO INTEGERS | GRADE 6,Directed Numbers,34,integers,8,6
9,Math Antics - Order Of Operations,Operations of Whole Number,33,order operations,16,2
10,Factorising Algebraic Expressions ( factoring / factorizing ,Algebra Expression,60,algebraic factor expressions,28,5
11,Lesson 24. Indices | Maths Session for Grade 06,Indices,47,indices session,15,7
12,Phonics Chapter 1 : Sounds of Alphabets | Learn Phonics  | Phonics Classroom Teaching,Directed Numbers,85,sound classroom teach phonics alphabets,39,6
13,Meet the Math Facts - Multiplication & Division Level 1 (FREE) | Preschool Prep,Angles,79,facts division level free multiplication,40,8
14,Types of sets,Sets,13,set type,8,0
15,Phonics Course Level 1 | Learn Phonics For Kids | Alphabet Sounds | Phonics For Pre School,Number Patterns,90,kid alphabet sound level course pre phonics,43,3
16,Angles (part 3) | Angles and intersecting lines | Geometry | Khan Academy,Angles,73,geometry intersect angle line,29,8
17,Singular and Plural | Singular & Plural Nouns | Phonics | Pre School Kindergarte,Angles,80,phonics pre,11,8
18,Adding and Subtracting Integers Using a Simple Metho,Directed Numbers,52,subtract simple integers add use,32,6
20,Set Builder Notation and Roster Method,Sets,38,builder set roster method notation,34,0
21,Place Value Of The Digits In A Number | Mathematics Grade 5 | Periwinkle,Operations of Whole Number,72,place value,11,2
22,"Sets Exercise 1.3 (Q1, Q2) class 11 Maths Ncert",Sets,47,q set ncert exercise,20,0
23,Lesson 8. Directed Numbers | Maths Session for Grade 07,Directed Numbers,55,direct session,14,6
24,Lesson 3. Operations on whole numbers | Maths Session for Grade 07,Operations of Whole Number,66,whole operations session,24,2
25,Solving Word Problems Involving Operations | MathDali | Grade 4 Math,Operations of Whole Number,68,solve word problems operations,30,2
26,"Earth Science for Kids - Solar System, Weather, Fossils, Volcanoes & More - Rock 'N Learn",Number Patterns,89,solar kid rock earth science weather system,43,3
27,"Types of Angles According to Measures | Mathematics Grade 5 | Periwinkle""",Angles,73,angle type measure,18,8
28,LCM and HCF by using Prime Factorization Method |Class 1 to 5|,Factors and Multiplication,62,hcf prime lcm factorization method use,38,4
29,Weather and Climate | Marvel Semester Series Social Studies Grade 3 | Periwinkle,Directed Numbers,80,study weather series,20,6
30,Factors and Multiples - Grade 6 - 11th lesson - English Medium - Sri Lankan National Curriculum,Factors and Multiplication,95,english lankan factor curriculum national sri multiples medium,62,4
31,"xponent rules part 1 | Exponents, radicals, and scientific notation | Pre-Algebra | Khan Academy",Indices,96,exponents notation prealgebra scientific rule,45,7
32,Factors and Multiples | Mathematics Grade 5 | Periwinkle,Factors and Multiplication,56,multiples factor,16,4
34,Learn to Find Area and Perimeter of Square and Rectangle | Math | Grade-5 | Tutway |,Perimeter,84,find square area rectangle tutway perimeter,43,9
36,Simple Math Tricks You Weren\u2019t Taught at Schoo,Operations of Whole Number,51,simple \ut trick teach,22,2
37,MATH Quiz: Are You Smarter than 8th grader? | Can You Pass 8th Grade? - 30 Question,Algebra Expression,83,question,8,5
38,Lesson 1. Number Patterns | Maths Session for Grade 08,Number Patterns,54,pattern session,15,3
40,Lesson 24. Indices | Maths Session for Grade 06,Indices,47,indices session,15,7
41,Lesson 12. Indices | Maths Session for Grade 09,Indices,47,indices session,15,7
42,"""Reflectional Symmetry and Rotational Symmetry | Don't Memorise",Symmetry,63,memorise reflectional dont symmetry rotational,46,1
43,"Fractions I - Grade 8 - 13th lesson - English Medium - Sri Lankan National Curriculum""",Algebra Expression,86,english lankan curriculum fraction national sri medium,54,5
44,Math Antics - Perimeter,Perimeter,23,perimeter,9,9
45,Symmetry - Introduction | Class 6 Maths,Symmetry,39,symmetry,8,1
46,What are Sets? | Set Theory | Don't Memorise,Sets,44,memorise set dont,17,0
47,Adding/subtracting negative numbers | Pre-Algebra | Khan Academy,Directed Numbers,64,prealgebra negative,19,6
48,Intro to Symmetry (Part 2) | What is Symmetry? | Lines of Symmetry,Symmetry,66,intro line symmetry,19,1
49,Introduction to exponents | Pre-Algebra | Khan Academy,Indices,54,prealgebra exponents,20,7
50,Types of sets,Sets,13,set type,8,0
51,How to Find Area and Perimeter,Perimeter,30,perimeter find area,19,9
52,Properties of Whole Numbers - Part 1 | Don't Memorise,Operations of Whole Number,53,whole dont memorise properties,30,2
53,Solving Algebraic Expressions (Grade 8 Nelson Lesson 8.3 4 9 13,Algebra Expression,63,solve expressions algebraic,27,5
54,Patterns | Maths for Kids | Kindergarten Maths School Syllabus | Maths For Pre School,Number Patterns,85,syllabus kid pre pattern,24,3
55,NCERT Grade 8 || CBSE Class 8 - Algebraic Expressions and Identities Introduction in Tamil,Algebra Expression,90,algebraic ncert expressions identities,38,5
56,Lesson 4. Factors and Multiples (Part I) | Maths Session for Grade 07,Symmetry,69,multiples factor session,24,1
57,Intro to Symmetry (Part 1) | What is Symmetry? | Lines of Symmetry,Symmetry,66,intro line symmetry,19,1
58,Sets I | Class 6 | Maths | CBSE | ICSE | FREE Tutorial,Sets,54,free icse tutorial set,22,0
59,Algebra as a Pattern,Algebra Expression,20,algebra pattern,15,5
60,9 Incredible Science Facts You Probably Didn't Learn At School,Sets,62,probably facts incredible science didnt,39,0
61,9 Incredible Science Facts You Probably Didn't Learn At School,Indices,62,probably facts incredible science didnt,39,7
62,Triangles | Mathematics Grade 5 | Periwinkle,Perimeter,44,triangles,9,9
63,Introduction to square roots | Numbers and operations | 8th grade | Khan Academy,Directed Numbers,80,root operations square,22,6
64,Algebra Basics: Solving 2-Step Equations - Math Antics,Algebra Expression,54,algebra solve basics step equations,35,5
65,The Pythagorean theorem intro | Right triangles and trigonometry | Geometry | Khan Academy,Perimeter,90,pythagorean theorem intro geometry triangles,44,9
66,Math Antics - Prime Factorization,Factors and Multiplication,33,factorization prime,19,4
67,Intro to the number line | Class 6 (India) | Math | Khan Academ,Operations of Whole Number,63,intro line,10,2
68,Introduction - Data Handling Chapter 5 - NCERT Class 8th Maths Solutions,Angles,72,ncert data,10,8
69,Math Antics - Adding & Subtracting Integers,Directed Numbers,43,add integers subtract,21,6
70,Phonics Course Level 1 | Learn Phonics For Kids | Alphabet Sounds | Phonics For Pre School,Perimeter,90,kid alphabet sound level course pre phonics,43,9
71,Phonics Chapter 1 : Sounds of Alphabets | Learn Phonics  | Phonics Classroom Teaching,Symmetry,85,sound classroom teach phonics alphabets,39,1
72,Grade 9 - Mathematics - Indices PART 1 (English Medium),Indices,55,english indices medium,22,7
73,Directed numbers | Addition | Subtraction,Directed Numbers,41,addition direct subtraction,27,6
74,Algebra Basics: What Are Polynomials? - Math Antics,Directed Numbers,51,basics algebra,14,6
75,Negative Numbers: An Overview,Directed Numbers,29,negative,8,6
76,Algebraic Expressions | Class 7 | Maths| CBSE | ICSE | FREE Tutorial,Algebra Expression,68,icse tutorial algebraic free expressions,40,5
78,Math Antics - Scientific Notation,Directed Numbers,33,scientific notation,19,6
79,Introduction to Algebra | Algebra for Beginners | Math | LetsTute,Algebra Expression,65,letstute algebra beginners,26,5
80,Math Antics - Long Division,Angles,27,division,8,8
81,Lesson 29. Likelihood of an Event Occurring | Maths Session for Grade 07,Operations of Whole Number,72,session,7,2
82,Symmetrical & Non Symmetrical Shapes,Symmetry,36,symmetrical shape,17,1
83,Perimeter | Maths for Kids | Grade 4 | Periwinkle,Perimeter,49,kid perimeter,13,9
84,Lesson 1. Bilateral Symmetry | Maths Session for Grade 07,Symmetry,57,session symmetry,16,1
86,Understanding Patterns | Mathematics Grade 1 | Periwinkle,Number Patterns,57,understand pattern,18,3
87,Introduction to rational and irrational numbers | Algebra I | Khan Academy,Number Patterns,74,algebra irrational rational,27,3
88,Grade 8 Introduction to Perimeter and Area,Perimeter,42,perimeter area,14,9
89,Perimeter and area full chapter | Mathematics | Class 7 | CBSE Syllabus,Perimeter,71,syllabus full perimeter area,28,9
90,Measure Length | Mathematics Grade 1 | Periwinkle,Perimeter,49,length measure,14,9
91,Lesson 4. Directed Numbers | Maths Session for Grade 08,Number Patterns,55,direct session,14,3
93,Introduction To Negative Numbers |  Maths Concept For Kids | Maths Grade 5 | Periwinkle,Directed Numbers,87,kid negative concept,20,6
94,Volume of a Cuboid | Mathematics Grade 5 | Periwinkle,Angles,53,volume,6,8
95,Indices Grade 07,Indices,16,indices,7,7
96,"""9 Incredible Science Facts You Probably Didn't Learn At School",Algebra Expression,63,probably facts incredible science didnt,39,5
97,Math Antics - Negative Numbers,Directed Numbers,30,negative,8,6
98,Abacus Class - Introduction | Learn basics Abacus | Beginners Abacus Lesson 1,Operations of Whole Number,77,abacus basics beginners,23,2
99,Perimeter | Maths for Kids | Grade 4 | Periwinkle,Symmetry,49,kid perimeter,13,1
100,Class 6 Maths - Ratio and Proportion | Ratio,Indices,44,proportion,10,7
101,Algebra Basics: Laws Of Exponents - Math Antics,Indices,47,basics algebra laws exponents,29,7
102,Math Antics - Basic Probability,Indices,31,basic probability,17,7
103,Grade 8 Math - Lesson 8.5: Solving Equations,Algebra Expression,44,solve equations,15,5
104,"Math Antics - Points, Lines, & Planes",Angles,37,point line,10,8
105,Maths Symmetry part 1 (Introduction) CBSE Class 6 Mathematics VI,Symmetry,64,vi symmetry,11,1
106,"""Maths Symmetry part 4 (Line Symmetry) CBSE Class 6 Mathematics VI",Symmetry,66,vi line symmetry,16,1
107,Grade 5|| MATHS || Unit 6- LCM and HCF,Factors and Multiplication,38,lcm hcf unit,12,4
108,9 Incredible Science Facts You Probably Didn't Learn At Schoo,Algebra Expression,61,probably facts incredible science didnt,39,5
109,Q 3 - Ex 2.2 - Linear Equations in One Variable - NCERT Maths Class 8th - Chapter 2,Perimeter,83,linear q ncert one variable ex equations,40,9
